Youtuber,category,Title,Country,Abbreviation,channel_type,created_month,subscribers,video views,uploads,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_date
ýýýýýýýý/Atro,Gaming,ýýýýýýýý/Atro,Netherlands,NL,Games,Jul,13800000,2480957682.0,1952,55122000.0,13800.0,220500.0,165400.0,2600000.0,200000.0,2017.0,2.0
123 GO! Spanish,People & Blogs,123 GO! Spanish,Mexico,MX,Howto,Mar,13800000,5019136690.0,520,26519000.0,6600.0,106100.0,79600.0,1300000.0,100000.0,2019.0,13.0
Geo News,News & Politics,Geo News,Pakistan,PK,News,Jan,13800000,5727888539.0,190093,100053000.0,25000.0,400200.0,300200.0,4800000.0,100000.0,2007.0,10.0
Kids TV India Hindi Nursery Rhymes,Shows,Kids TV India Hindi Nursery Rhymes,India,IN,Education,Nov,13800000,6646953396.0,1505,78651000.0,19700.0,314600.0,236000.0,3800000.0,100000.0,2014.0,17.0
Think Music India,Music,Think Music India,India,IN,Music,Aug,13800000,11039343563.0,4978,217106000.0,54300.0,868400.0,651300.0,10400000.0,200000.0,2009.0,15.0
O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Brazil,BR,Entertainment,Feb,13700000,1967930734.0,696,87804000.0,22000.0,351200.0,263400.0,4200000.0,200000.0,2015.0,6.0
Goldmines Premiere,Entertainment,Goldmines Premiere,India,IN,Film,Oct,13700000,1973638757.0,975,37648000.0,9400.0,150600.0,112900.0,1800000.0,100000.0,2013.0,12.0
MAIKI021,Entertainment,MAIKI021,Brazil,BR,Entertainment,Jan,13700000,1950178163.0,3298,7438000.0,1900.0,29800.0,22300.0,357000.0,300000.0,2008.0,22.0
The Vishal bhatt,Comedy,The Vishal bhatt,India,IN,Comedy,Aug,13700000,9596430464.0,1040,379240000.0,94800.0,1500000.0,1100000.0,18200000.0,600000.0,2021.0,15.0
NishaMadhulika,Howto & Style,NishaMadhulika,India,IN,Howto,Aug,13700000,2939201386.0,2158,22235000.0,5600.0,88900.0,66700.0,1100000.0,100000.0,2009.0,2.0
MyMissAnand,People & Blogs,MyMissAnand,India,IN,Entertainment,Jul,13700000,4963275018.0,340,27882000.0,7000.0,111500.0,83600.0,1300000.0,100000.0,2014.0,22.0
FAPTV,Comedy,FAPTV,Vietnam,VN,Comedy,Feb,13700000,5457203710.0,863,35124000.0,8800.0,140500.0,105400.0,1700000.0,200000.0,2014.0,26.0
Wesley Safadï¿½,Music,Wesley Safadï¿½,Brazil,BR,Music,Jun,13700000,8134379376.0,438,64059000.0,16000.0,256200.0,192200.0,3100000.0,200000.0,2009.0,21.0
infobells,Education,infobells,India,IN,Education,Oct,13700000,5178142148.0,495,23893000.0,6000.0,95600.0,71700.0,1100000.0,100000.0,2011.0,20.0
Desi Gamers,Gaming,Desi gamers,Unknown,,Tech,Apr,13700000,2135195239.0,1,5.0,0.0,0.02,0.02,0.24,100000.0,2020.0,14.0
Acenix,Gaming,Acenix,Spain,ES,Games,Jan,13600000,2122062016.0,368,47436000.0,11900.0,189700.0,142300.0,2300000.0,200000.0,2014.0,2.0
